Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
0,-4,-4.5,Florida St,Michigan,0.5755,0.5502,20,28,11,7,0.5699,0.6172,0,0,10.3,14.6,39,14,0,0,15.82,23.19,35,10,115.8,115.9,100,92.7,0.5451,0.5572,6,11,6,6,6,5,6,4,17,19,12,14,1,1,9,9,62.795,186,9,3
1,12,6,Villanova,Texas Tech,0.5772,0.5789,30,24,4,9,0.6599,0.5983,0,0,21.5,14.8,1,12,0,0,31.4,21.95,2,12,127.4,114,96,92.1,0.5888,0.5589,9,7,23,7,13,6,3,5,7,8,7,8,0,0,13,8,285,18.063,1,3
1,4,-3,Kansas,Duke,0.5789,0.5755,27,26,7,7,0.6381,0.638,0,0,16.3,19.5,8,3,0,0,23.24,29.12,9,3,120.9,122.6,97.7,86.1,0.6041,0.5845,9,8,20,11,11,7,2,3,4,9,4,9,0,0,7,11,265,270,1,2
0,-1,2.5,Duke,Michigan St,0.5672,0.5665,29,28,5,6,0.6701,0.6457,0,0,21.7,19.8,3,4,0,0,31.99,31.36,3,4,120.1,121.7,88.1,90.4,0.6143,0.5817,9,10,19,13,12,8,5,3,9,12,9,7,0,1,9,13,250,125,1,2
0,-6,5,Gonzaga,Texas Tech,0.5296,0.5826,30,26,3,6,0.6432,0.6192,0,0,22.8,16.9,2,9,0,0,32.79,26.75,2,9,125.1,112.7,92.3,85.9,0.5537,0.5569,11,10,5,5,4,5,3,5,15,7,15,7,0,0,21,10,380,191.688,1,3
1,5,4.5,Virginia,Purdue,0.5672,0.5665,29,23,3,9,0.6554,0.6197,0,0,23.7,16.7,1,10,0,0,35.66,26.05,1,10,123.6,121.1,87.9,95,0.5738,0.5775,10,9,17,5,10,6,3,7,12,11,12,6,0,1,16,8,90,200,1,3
1,6,-4.5,Auburn,Kentucky,0.5652,0.5652,26,27,9,6,0.6189,0.6426,0,0,15.6,17.7,12,7,0,0,23.33,27.41,13,7,119.6,118.2,96.2,90.8,0.5787,0.5878,10,9,5,13,5,9,5,5,7,8,7,8,0,0,8,10,62.397,290,5,2
0,0,0,p,o,16,15,16,15,16,15,16,15,0,0,16,15,16,15,0,0,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,96,90,16,15,16,15,16,15,16,15,16,15
0,0,0,p,o,16,15,16,15,16,15,16,15,0,0,16,15,16,15,0,0,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,96,90,16,15,16,15,16,15,16,15,16,15
0,0,0,p,o,16,15,16,15,16,15,16,15,0,0,16,15,16,15,0,0,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,96,90,16,15,16,15,16,15,16,15,16,15
0,0,0,p,o,16,15,16,15,16,15,16,15,0,0,16,15,16,15,0,0,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,96,90,16,15,16,15,16,15,16,15,16,15
0,-10,6.5,Florida,UCONN,0.5494,0.5451,32,26,2,8,0.6701,0.6087,90.6,79.7,0,0,2,28,0.9476,0.8688,0,0,3,25,117.1,110.1,87.9,91.8,0.5944,0.5693,12,9,18,10,10,7,2,4,8,13,8,13,0,0,26,9,410,212.667,1,7
0,-1,-1,Wisconsin,Kentucky,0.5713,0.5494,26,24,7,10,0.6382,0.6173,84.7,84.9,0,0,11,10,0.9,0.8844,0,0,11,17,119.6,116,98,95.4,0.5986,0.5966,9,7,10,2,7,4,4,6,4,6,4,6,0,0,16,5,170,332.545,2,8
0,-7,5,Kentucky,Wisconsin,0.5557,0.5666,34,31,0,3,0.678,0.6678,95.3,91.8,0,0,1,2,0.9787,0.9615,0,0,1,3,119.7,124.7,85.8,94.3,0.5704,0.5838,12,11,22,16,11,9,0,2,9,10,9,5,0,1,34,10,461.909,295,1,1
0,-20,-5.5,Michigan St,Duke,0.5666,0.5679,23,29,11,4,0.607,0.6613,81.1,87.8,0,0,18,7,0.8786,0.9395,0,0,17,7,114.1,122,96.1,96.1,0.5901,0.5874,8,11,1,19,4,11,7,3,11,7,6,7,1,0,4,14,310,110,7,1
1,44,2.5,Villanova,Oklahoma,0.5608,0.5884,29,25,5,7,0.6455,0.637,88.8,86.3,0,0,3,6,0.9352,0.9199,0,0,5,7,117.2,115.4,93,93.3,0.5854,0.5874,10,7,9,14,7,10,5,6,9,9,9,9,0,0,9,12,70,155,2,2
1,17,10,North Carolina,Syracuse,0.5714,0.5714,28,19,6,13,0.642,0.5643,90.3,75.9,0,0,1,39,0.9407,0.8111,0,0,4,41,119.5,109.4,94,96.4,0.5774,0.5621,9,6,5,4,5,5,5,6,7,15,7,10,0,1,12,6,220,167.323,1,10
0,-4,-6.5,South Carolina,Gonzaga,0.5579,0.5253,22,32,10,1,0.5866,0.6438,0,0,9.5,19.6,43,2,0,0,16.92,33.03,30,1,105.5,120.7,88.5,87.6,0.5623,0.5402,6,11,1,12,3,6,5,0,6,14,6,14,0,0,8,29,5.31,320,7,1
0,-1,-4.5,Oregon,North Carolina,0.5527,0.5816,29,27,5,7,0.6426,0.6469,0,0,16.3,19.5,13,3,0,0,23.46,27.91,16,3,117.7,122.1,93.9,94.1,0.5683,0.5901,10,8,5,15,4,10,3,5,8,6,8,6,0,0,17,7,240,370,3,1
0,-12,-5.5,Loyola-Chicago,Michigan,0.526,0.5502,28,28,5,7,0.5952,0.6172,0,0,8.9,14.6,50,14,0,0,15.09,23.19,42,10,111.3,115.9,96.2,92.7,0.5122,0.5572,11,11,1,6,1,5,1,4,22,19,12,14,2,1,10,9,4.953,186,11,3
1,16,5,Villanova,Kansas,0.5772,0.5789,30,27,4,7,0.6599,0.6381,0,0,21.5,16.3,1,8,0,0,31.4,23.24,2,9,127.4,120.9,96,97.7,0.5888,0.6041,9,9,23,20,13,11,3,2,7,4,7,4,0,0,13,7,285,265,1,1
0,-10,2,Michigan St,Texas Tech,0.5665,0.5826,28,26,6,6,0.6457,0.6192,0,0,19.8,16.9,4,9,0,0,31.36,26.75,4,9,121.7,112.7,90.4,85.9,0.5817,0.5569,10,10,13,5,8,5,3,5,12,7,7,7,1,0,13,10,125,191.688,2,3
1,1,6,Virginia,Auburn,0.5672,0.5652,29,26,3,9,0.6554,0.6189,0,0,23.7,15.6,1,12,0,0,35.66,23.33,1,13,123.6,119.6,87.9,96.2,0.5738,0.5787,10,10,17,5,10,5,3,5,12,7,12,7,0,0,16,8,90,62.397,1,5
0,0,0,o,o,15,15,15,15,15,15,15,15,0,0,15,15,15,15,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,90,90,15,15,15,15,15,15,15,15,15,15
0,0,0,o,o,15,15,15,15,15,15,15,15,0,0,15,15,15,15,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,90,90,15,15,15,15,15,15,15,15,15,15
1,6,-2.5,UCONN,Kentucky,0.5451,0.5494,26,24,8,10,0.6087,0.6173,79.7,84.9,0,0,28,10,0.8688,0.8844,0,0,25,17,110.1,116,91.8,95.4,0.5693,0.5966,9,7,10,2,7,4,4,6,13,6,13,6,0,0,9,5,212.667,332.545,7,8
0,-5,1,Wisconsin,Duke,0.5666,0.5679,31,29,3,4,0.6678,0.6613,91.8,87.8,0,0,2,7,0.9615,0.9395,0,0,3,7,124.7,122,94.3,96.1,0.5838,0.5874,11,11,16,19,9,11,2,3,10,7,5,7,1,0,10,14,295,110,1,1
1,3,-2,Villanova,North Carolina,0.5608,0.5714,29,28,5,6,0.6455,0.642,88.8,90.3,0,0,3,1,0.9352,0.9407,0,0,5,4,117.2,119.5,93,94,0.5854,0.5774,10,9,9,5,7,5,5,5,9,7,9,7,0,0,9,12,70,220,2,1
0,-6,-1,Gonzaga,North Carolina,0.5253,0.5816,32,27,1,7,0.6438,0.6469,0,0,19.6,19.5,2,3,0,0,33.03,27.91,1,3,120.7,122.1,87.6,94.1,0.5402,0.5901,11,8,12,15,6,10,0,5,14,6,14,6,0,0,29,7,320,370,1,1
0,-17,-7,Michigan,Villanova,0.5502,0.5772,28,30,7,4,0.6172,0.6599,0,0,14.6,21.5,14,1,0,0,23.19,31.4,10,2,115.9,127.4,92.7,96,0.5572,0.5888,11,9,6,23,5,13,4,3,19,7,14,7,1,0,9,13,186,285,3,1
0,-8,1.5,Texas Tech,Virginia,0.5826,0.5672,26,29,6,3,0.6192,0.6554,0,0,16.9,23.7,9,1,0,0,26.75,35.66,9,1,112.7,123.6,85.9,87.9,0.5569,0.5738,10,10,5,17,5,10,5,3,7,12,7,12,0,0,10,16,191.688,90,3,1
0,0,0,o,o,15,15,15,15,15,15,15,15,0,0,15,15,15,15,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,90,90,15,15,15,15,15,15,15,15,15,15
