Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
0,-23,-4,Miami,Villanova,0.5714,0.5608,25,29,7,5,0.6333,0.6455,83.6,88.8,0,0,15,3,0.8971,0.9352,0,0,13,5,117.2,117.2,97.1,93,0.5822,0.5854,9,10,11,9,7,7,3,5,8,9,8,9,0,0,8,9,54.177,70,3,2
1,14,3,Oregon,Duke,0.5776,0.5714,28,23,6,10,0.656,0.6059,83.5,84.5,0,0,16,11,0.9123,0.8715,0,0,9,22,119.4,119.3,97.4,100.7,0.6001,0.5897,10,8,21,5,12,6,3,7,5,7,5,7,0,0,8,7,220,360,1,4
0,-14,-2.5,Texas A&M,Oklahoma,0.5495,0.5884,26,25,8,7,0.607,0.637,83.3,86.3,0,0,17,6,0.8923,0.9199,0,0,17,7,112.6,115.4,93.7,93.3,0.557,0.5874,8,7,9,14,5,10,1,6,9,9,9,9,0,0,10,12,5.225,155,3,2
1,15,5,North Carolina,Indiana,0.5714,0.5515,28,25,6,7,0.642,0.5992,90.3,82.2,0,0,1,19,0.9407,0.8959,0,0,4,14,119.5,119,94,98.7,0.5774,0.5379,9,8,5,9,5,6,5,3,7,16,7,11,0,1,12,12,220,81.594,1,5
1,5,1.5,Notre Dame,Wisconsin,0.5714,0.5515,21,20,11,12,0.5874,0.5817,77.2,76.4,0,0,33,36,0.8131,0.839,0,0,39,32,117.8,110,103.7,95.3,0.5725,0.5814,7,9,5,4,5,5,5,6,10,20,10,5,0,3,4,7,191.406,415,6,7
1,13,6,Virginia,Iowa St,0.5714,0.5884,26,21,7,11,0.6532,0.6031,89.2,83,0,0,2,18,0.9482,0.8919,0,0,2,18,118.3,120.5,91.9,100.3,0.6005,0.5896,9,5,15,4,9,7,3,10,6,7,6,7,0,0,11,9,101.314,140,1,4
0,-3,4,Gonzaga,Syracuse,0.4953,0.5714,26,19,7,13,0.5766,0.5643,80.3,75.9,0,0,23,39,0.8609,0.8111,0,0,28,41,114.6,109.4,97.8,96.4,0.5235,0.5621,10,6,-1,4,2,5,5,6,16,15,16,10,0,1,7,6,230,167.323,11,10
0,-1,-1,Wisconsin,Florida,0.5669,0.5579,25,24,9,8,0.5932,0.6391,0,0,14.7,17.6,21,8,0,0,22.24,26.32,23,9,113.6,115.9,91.3,89.5,0.5479,0.5934,6,9,3,4,5,6,7,8,9,7,9,7,0,0,9,9,430,103.788,8,4
0,-20,3,Baylor,South Carolina,0.575,0.5579,25,22,7,10,0.6373,0.5866,0,0,15.3,9.5,17,43,0,0,25.08,16.92,12,30,117.3,105.5,92.3,88.5,0.594,0.5623,6,6,14,1,9,3,4,5,8,6,8,6,0,0,15,8,90,5.31,3,7
1,3,3,Gonzaga,West Virginia,0.5253,0.575,32,26,1,8,0.6438,0.605,0,0,19.6,17.8,2,7,0,0,33.03,26.9,1,5,120.7,116.5,87.6,89.7,0.5402,0.5555,11,8,12,8,6,6,0,4,14,16,14,11,0,1,29,8,320,106.03,1,4
