Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,18,22,North Carolina,Lipscomb,0.5755,0.447,25,23,10,9,0.6418,0.5351,0,0,16.7,-0.1,7,171,0,0,25.03,0.38,7,165,121.9,103.8,96.9,103.4,0.6223,0.472,9,11,16,-3,11,0,6,3,6,43,6,18,0,5,6,8,520,4.418,2,15
1,26,22.5,Villanova,Radford,0.5772,0.4602,30,22,4,12,0.6599,0.5178,0,0,21.5,0.1,1,164,0,0,31.4,-0.02,2,170,127.4,103.6,96,103.6,0.5888,0.4672,9,8,23,-2,13,0,3,2,7,48,7,18,0,6,13,7,285,4.592,1,16
0,-3,2.5,Virginia Tech,Alabama,0.5755,0.5747,21,19,11,15,0.5665,0.5766,0,0,11.3,8.7,29,54,0,0,16.63,13.83,32,51,115,108.4,98.4,94.6,0.5466,0.5995,7,5,0,8,4,8,8,8,11,8,11,3,0,1,7,5,42.381,4.989,8,9
1,17,10,West Virginia,Murray St,0.5789,0.4796,24,26,10,5,0.5942,0.5708,0,0,15.5,7.7,10,62,0,0,21.77,12.69,13,59,119.1,113.1,97.4,100.4,0.5682,0.4886,8,12,7,-2,7,0,7,2,8,25,8,20,0,1,15,13,190,5.141,5,12
0,-6,13.5,Witchita St,Marshall,0.543,0.4859,25,24,7,10,0.6155,0.5506,0,0,14.8,2.6,11,124,0,0,20.07,5.39,20,114,121.9,109.3,101.8,103.9,0.5726,0.4954,9,10,5,3,5,3,5,3,8,39,8,19,0,4,7,5,245,4.519,4,13
1,15,6,Florida,St Bonaventure,0.5747,0.5095,20,25,12,7,0.5761,0.5978,0,0,11.7,8.1,24,57,0,0,18.71,11.19,23,69,115.1,112.3,96.4,101.1,0.5756,0.5333,6,11,12,4,9,3,6,2,5,18,5,13,0,1,6,13,182.72,5.79,6,11
1,10,11.5,Texas Tech,Stephen F Austin,0.5789,0.4471,24,28,9,6,0.5983,0.5339,0,0,14.8,3.6,12,109,0,0,21.95,5.62,12,111,114,105,92.1,99.4,0.5589,0.4351,7,10,7,-1,6,0,5,1,8,41,8,21,0,4,8,6,18.063,97.182,3,14
0,-17,-2,Arkansas,Butler,0.5747,0.5772,23,20,11,13,0.594,0.578,0,0,10.4,11.7,37,25,0,0,15.63,17.86,37,25,117.3,115.7,101.7,97.9,0.5712,0.581,8,6,6,1,7,5,8,9,6,14,6,9,0,1,6,5,121.5,235,7,10
1,26,20,Purdue,CSU Fullerton,0.5502,0.4766,28,20,6,11,0.6233,0.5187,0,0,19.3,-0.6,4,182,0,0,26.66,1.34,5,153,123.2,105,96.6,103.6,0.5652,0.4804,8,9,5,-2,5,0,5,2,14,31,14,11,0,4,19,5,155,3.706,2,15
1,16,14,Kansas,Penn,0.5789,0.4619,27,24,7,8,0.6381,0.5231,0,0,16.3,4.2,8,100,0,0,23.24,3.69,9,127,120.9,103.5,97.7,99.8,0.6041,0.4547,9,10,20,-2,11,0,2,2,4,34,4,19,0,3,7,5,265,3.679,1,16
