Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
0,-26,Virginia,Florida,.5816,.5579,22,24,10,8,.6165,.6391,0,0,18.3,17.6,4,8,0,0,26.57,26.32,7,9,113.7,115.9,87.0,89.5,.5968,.5934,6,9,4,4,6,6,8,8,4,7,4,7,0,0,7,9,210.000,103.788,5,4
0,-4,USC,Baylor,.5527,.5750,24,25,9,7,.5878,.6373,0,0,7.6,15.3,59,17,0,0,12.08,25.08,61,12,112.5,117.3,100.2,92.3,.5446,.5940,7,6,-2,14,2,9,6,4,15,8,15,8,0,0,14,15,21.813,90.000,11,3
1,7,South Carolina,Duke,.5579,.5816,22,27,10,8,.5866,.6453,0,0,9.5,18.0,43,6,0,0,16.92,24.99,30,13,105.5,121.0,88.5,95.9,.5623,.5979,6,9,1,20,3,13,5,6,6,8,6,8,0,0,8,10,5.310,330.000,7,2
1,6,Gonzaga,Northwestern,.5253,.5669,32,23,1,11,.6438,.5781,0,0,19.6,9.2,2,46,0,0,33.03,15.47,1,38,120.7,111.2,87.6,95.7,.5402,.5552,11,5,12,2,6,5,0,8,14,11,14,11,0,0,29,9,320.000,4.755,1,8
0,-12,Notre Dame,West Virginia,.5816,.5750,25,26,9,8,.6087,.6050,0,0,14.4,17.8,22,7,0,0,21.04,26.90,25,5,118.9,116.5,97.8,89.7,.5732,.5555,8,8,8,8,8,6,8,4,9,16,9,11,0,1,9,8,335.938,106.030,5,4
1,25,Xavier,Florida St,.5715,.5816,21,25,13,8,.5926,.6307,0,0,10.4,14.7,35,20,0,0,15.21,22.65,40,19,114.8,116.7,99.5,94.0,.5870,.5835,5,7,-1,18,4,11,9,4,6,7,6,7,0,0,7,12,155.000,5.121,11,3
0,-9,St Mary's,Arizona,.5253,.5527,28,30,4,4,.6214,.6547,0,0,16.4,14.0,12,24,0,0,24.62,22.48,14,21,119.0,117.6,94.3,94.8,.5434,.5817,10,10,0,8,2,6,4,4,15,8,15,8,0,0,9,15,6.661,205.000,7,2
1,20,Kansas,Michigan St,.5750,.5669,28,19,4,14,.6525,.5785,0,0,16.8,9.4,10,44,0,0,26.01,15.00,10,42,120.8,110.6,94.9,95.6,.5811,.5907,10,7,14,3,8,6,2,9,8,5,8,5,0,0,18,4,190.000,265.000,1,9
0,-4,Iowa St,Purdue,.5750,.5669,23,25,10,7,.6101,.6126,0,0,14.1,16.8,23,11,0,0,23.17,24.18,17,15,119.6,116.9,96.4,92.7,.5813,.5583,10,9,7,9,7,7,7,5,14,8,9,8,1,0,6,7,180.000,50.938,5,4
0,-3,Rhode Island,Oregon,.5263,.5527,24,29,9,5,.5989,.6426,0,0,10.8,16.3,33,13,0,0,15.72,23.46,36,16,110.7,117.7,95.0,93.9,.5569,.5683,10,10,3,5,3,4,3,3,15,8,10,8,1,0,8,17,5.119,240.000,11,3
