Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,14,Oregon,Duke,.5776,.5714,28,23,6,10,.6560,.6059,83.5,84.5,0,0,16,11,.9123,.8715,0,0,9,22,119.4,119.3,97.4,100.7,.6001,.5897,10,8,21,5,12,6,3,7,5,7,5,7,0,0,8,7,220.000,360.000,1,4
0,-14,Texas A&M,Oklahoma,.5495,.5884,26,25,8,7,.6070,.6370,83.3,86.3,0,0,17,6,.8923,.9199,0,0,17,7,112.6,115.4,93.7,93.3,.5570,.5874,8,7,9,14,5,10,1,6,9,9,9,9,0,0,10,12,5.225,155.000,3,2
1,15,North Carolina,Indiana,.5714,.5515,28,25,6,7,.6420,.5992,90.3,82.2,0,0,1,19,.9407,.8959,0,0,4,14,119.5,119.0,94.0,98.7,.5774,.5379,9,8,5,9,5,6,5,3,7,16,7,11,0,1,12,12,220.000,81.594,1,5
1,5,Notre Dame,Wisconsin,.5714,.5515,21,20,11,12,.5874,.5817,77.2,76.4,0,0,33,36,.8131,.8390,0,0,39,32,117.8,110.0,103.7,95.3,.5725,.5814,7,9,5,4,5,5,5,6,10,20,10,5,0,3,4,7,191.406,415.000,6,7
1,13,Virginia,Iowa St,.5714,.5884,26,21,7,11,.6532,.6031,89.2,83.0,0,0,2,18,.9482,.8919,0,0,2,18,118.3,120.5,91.9,100.3,.6005,.5896,9,5,15,4,9,7,3,10,6,7,6,7,0,0,11,9,101.314,140.000,1,4
0,-3,Gonzaga,Syracuse,.4953,.5714,26,19,7,13,.5766,.5643,80.3,75.9,0,0,23,39,.8609,.8111,0,0,28,41,114.6,109.4,97.8,96.4,.5235,.5621,10,6,-1,4,2,5,5,6,16,15,16,10,0,1,7,6,230.000,167.323,11,10
0,-1,Wisconsin,Florida,.5669,.5579,25,24,9,8,.5932,.6391,0,0,14.7,17.6,21,8,0,0,22.24,26.32,23,9,113.6,115.9,91.3,89.5,.5479,.5934,6,9,3,4,5,6,7,8,9,7,9,7,0,0,9,9,430.000,103.788,8,4
0,-20,Baylor,South Carolina,.5750,.5579,25,22,7,10,.6373,.5866,0,0,15.3,9.5,17,43,0,0,25.08,16.92,12,30,117.3,105.5,92.3,88.5,.5940,.5623,6,6,14,1,9,3,4,5,8,6,8,6,0,0,15,8,90.000,5.310,3,7
1,3,Gonzaga,West Virginia,.5253,.5750,32,26,1,8,.6438,.6050,0,0,19.6,17.8,2,7,0,0,33.03,26.90,1,5,120.7,116.5,87.6,89.7,.5402,.5555,11,8,12,8,6,6,0,4,14,16,14,11,0,1,29,8,320.000,106.030,1,4
1,2,Xavier,Arizona,.5715,.5527,21,30,13,4,.5926,.6547,0,0,10.4,14.0,35,24,0,0,15.21,22.48,40,21,114.8,117.6,99.5,94.8,.5870,.5817,5,10,-1,8,4,6,9,4,6,8,6,8,0,0,7,15,155.000,205.000,11,2
1,32,Kansas,Purdue,.5750,.5669,28,25,4,7,.6525,.6126,0,0,16.8,16.8,10,11,0,0,26.01,24.18,10,15,120.8,116.9,94.9,92.7,.5811,.5583,10,9,14,9,8,7,2,5,8,8,8,8,0,0,18,7,190.000,50.938,1,4
1,1,Oregon,Michigan,.5527,.5669,29,24,5,11,.6426,.6044,0,0,16.3,15.3,13,18,0,0,23.46,22.62,16,20,117.7,121.6,93.9,99.0,.5683,.5789,10,10,5,6,4,7,3,8,8,8,8,8,0,0,17,5,240.000,141.500,3,7
